system,product,event_type,event_date,body,outcome,detail,amount,currency,stated_reason_verbatim,source_doc,source_url,fetched_date,status,notes
United States,system,delivery-site,2026-09-06,Foundation for the Accreditation of Cellular Therapy (FACT),stated,"FACT accredited-institution directory counts as read 2026-09-06: USA total 259 organisations; USA with Immune Effector Cellular Therapy clinical service 171; global IEC clinical service 201; USA accredited under FACT IEC stand-alone standards 7 (8 globally); 348 accredited organisations overall (299 cellular therapy, 49 cord blood).",171,US organisations with FACT IEC clinical service,Found 171 Results,"FACT accredited institutions directory (filters country=USA, clinical=Immune Effector Cellular Therapy)",https://accredited.factglobal.org/?_sft_country=usa&_sft_clinical=immune-effector-cellular-therapy,2026-09-06,verified-from-source,Directory is a current snapshot; no by-year series is published on the page.
United States,CAR-T class,delivery-site,2020-12-31,CIBMTR,stated,CIBMTR 2020 Cellular Therapy Summary Slides: CAR-T recipients 2016-2020 reported by US centres.,159,US centers reporting CAR-T,"The data was reported by 159 US centers, the median age of CAR T cell recipients is 59 years, and 34% received a prior autologous or allogeneic HCT.",CIBMTR 2020 Cellular Therapy Summary Slides (slide 6 and notes),https://cibmtr.org/Files/CIDR/CT_SummarySlides_2020.pptx,2026-09-06,verified-from-source,"N=4,094 CAR-T recipients 2016-2020; slide 1 notes: reporting ""estimated to be 65 % of commercial products""."
United States,CAR-T class,delivery-site,2021-12-31,CIBMTR,stated,CIBMTR 2021 Cellular Therapy Summary Slides: reporting centres 2016-2021.,195,"reporting centers (US, Canada, Israel; US 95 percent)","There are 195 reporting centers from US, Canada and Israel.",CIBMTR 2021 Cellular Therapy Summary Slides (slide 6 and notes),https://cibmtr.org/Files/CIDR/CT_SummarySlides_2021.pptx,2026-09-06,verified-from-source,"Slide 6 title: ""CAR T Cell Indications: 2016-2021 (N=6,343) Centers: 195 (US 95%)""."
United States,CAR-T class,delivery-site,,CIBMTR,not-found,"CIBMTR US Summary Slides 2022, 2023, 2024 and 2025 decks were downloaded and text-searched; no count of centres reporting CAR-T was found in slide or notes text.",,,,CIBMTR Summary Slides 2022-2025,https://cibmtr.org/CIBMTR/Resources/Summary-Slides-Reports,2026-09-06,not-found,Decks: The-US-Summary-Slides-2022-v4---web-version.pptx; Summary-Slides-2023-website-version.pptx; CIBMTR-Summary-Slides-2024-8.26.2025-WEB.pptx; 2025-Summary-Slides-Final-for-WEB.pptx.
United States,system,policy-statement,2019-01-15,FDA (Commissioner Gottlieb and CBER Director Marks),stated,Joint statement on cell and gene therapy: more than 800 active INDs; more than 200 INDs per year expected by 2020; 10 to 20 approvals per year predicted by 2025.,10,"approvals per year (10 to 20, predicted by 2025)","by 2025, we predict that the FDA will be approving 10 to 20 cell and gene therapy products a year",FDA statement 15 January 2019 (PR Newswire syndication of the FDA release),https://www.prnewswire.com/news-releases/statement-from-fda-commissioner-scott-gottlieb-md-and-peter-marks-md-phd-director-of-the-center-for-biologics-evaluation-and-research-on-new-policies-to-advance-development-of-safe-and-effective-cell-and-gene-therapies-300778680.html,2026-09-06,verified-from-source,"Also: ""more than 800 active cell-based or directly administered gene therapy INDs currently on file"" and ""by 2020 we will be receiving more than 200 INDs per year"". The fda.gov URL for the statement returned 404; the PR Newswire copy carries the FDA dateline."
United States,system,policy-statement,2024-05-01,FDA,stated,"Draft guidance Platform Technology Designation Program for Drug Development (section 506K FD&C Act, added by FDORA 2022); issued May 2024.",,,Not for implementation. Contains non-binding recommendations.,"FDA draft guidance, May 2024",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/platform-technology-designation-program-drug-development,2026-09-06,verified-from-source,"Purpose per guidance: ""result in efficiencies in drug development, manufacturing, and review processes for drug product applications"" using designated platform technologies."
United States,system,policy-statement,2024-05-29,FDA (CBER and CDER),started,START pilot (Support for clinical Trials Advancing Rare disease Therapeutics): announced September 2023; applications 2 January to 1 March 2024; participants notified 29 May 2024; frequent ad hoc advice on trial design for rare-disease gene therapies and drugs.,,,"On May 29, 2024, the FDA notified selected participants of their acceptance into the Support for clinical Trials Advancing Rare disease Therapeutics (START) Pilot Program.",FDA Roundup 31 May 2024; CBER CY2024 Report from the Director,https://www.fda.gov/news-events/press-announcements/fda-roundup-may-31-2024,2026-09-06,verified-from-source,"Number of participants not stated on the pages read. CBER CY2024 report: ""ten new cell and gene therapies for rare diseases approved since the reorganization, approximately twice the rate of previous years' approvals""."
United States,system,policy-statement,2025-11-12,"FDA (Commissioner Makary and CBER Director Prasad, NEJM)",stated,Plausible mechanism pathway for bespoke and rare-disease therapies proposed in NEJM: approval could rest on confirmation of target engagement or editing plus consistent clinical improvement; rare and paediatric diseases prioritised.,,,"confirmation that the target was successfully drugged or edited, when clinically feasible","Prasad V, Makary MA. NEJM 2025, doi 10.1056/NEJMsb2512695; summarised by AABB News 19 November 2025",https://www.nejm.org/doi/full/10.1056/NEJMsb2512695,2026-09-06,provisional-from-snippet,"NEJM and the FDA page returned 403/404; wording taken from AABB summary (https://www.aabb.org/news-resources/news/article/2025/11/19/fda-leaders-propose-new-regulatory-pathway-for-bespoke-therapies): also requires ""consistent clinical improvement that cannot be explained by regression to the mean"" and ""could also extend to common conditions with numerous causative mutations or considerable unmet need"". Publication date 12 November 2025 per BioPharma Dive search snippet."
United States,system,policy-statement,2022-08-16,"US Congress (Inflation Reduction Act, Public Law 117-169, section 1192)",stated,Medicare Drug Price Negotiation Program: a biologic becomes a qualifying single source drug only 11 years after licensure (7 years for drugs); drugs designated for only one rare disease and approved only for it are excluded; low-spend drugs excluded. Relevance: one-time gene therapies with a single orphan designation are outside negotiation.,11,years after licensure (biologics) before negotiation eligibility,"A drug that is designated as a drug for only one rare disease or condition under section 526 of the Federal Food, Drug, and Cosmetic Act and for which the only approved indication (or indications) is for such disease or condition.","Public Law 117-169 text (govinfo), section 1192(e)",https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,2026-09-06,verified-from-source,"Statute text: biological product ""for which ... at least 11 years will have elapsed since the date of such licensure""; drug ""at least 7 years will have elapsed since the date of such approval"". Enactment date is the Public Law date."
United States,Zevaskyn,delivery-site,2025-05-14,Abeona Therapeutics,stated,First qualified treatment centre activated (Ann & Robert H. Lurie Children's Hospital of Chicago per 10-Q); product available from Q3 2025 through QTCs.,1,qualified treatment center,"First Qualified Treatment Center Activation On May 14, 2025, we announced that Ann & Robert H",Abeona Therapeutics Form 10-Q Q1 2025,https://www.sec.gov/Archives/edgar/data/318306/000164117225010516/form10-q.htm,2026-09-06,verified-from-source,"FY2024 10-K (March 2025): ""in discussions with 5 to 7 epidermolysis bullosa centers of excellence to onboard them as pz-cel Qualified Treatment Centers"". Further activations: Lucile Packard (15 July 2025), Children's Hospital Colorado (8 October 2025)."
United States,Zevaskyn,delivery-site,2026-03-17,Abeona Therapeutics,stated,Activated QTCs as of March 2026.,4,qualified treatment centers,"As of March 2026, we have activated 4 qualified treatment centers and are in discussions with additional centers as we continue to expand the ZEVASKYN qualified treatment network",Abeona Therapeutics Form 10-K for 2025,https://www.sec.gov/Archives/edgar/data/318306/000149315226010413/form10-k.htm,2026-09-06,verified-from-source,
United States,Zevaskyn,payment-rule,2026-01-01,CMS,granted,Permanent HCPCS J-code for ZEVASKYN effective 1 January 2026 (as stated by sponsor).,,,"Effective January 1, 2026, CMS also has issued a permanent J-code for ZEVASKYN that we expect will simplify claims and reimbursement processing between qualified treatment centers and all payer types",Abeona Therapeutics Form 10-K for 2025,https://www.sec.gov/Archives/edgar/data/318306/000149315226010413/form10-k.htm,2026-09-06,verified-from-source,Code number not stated in the sentence read.
United States,Zevaskyn,delivery-site,2026-08-13,Abeona Therapeutics,stated,QTC network at Q2 2026 results; cumulative treatments.,7,qualified treatment centers,Expanding QTC network now includes seven sites nationwide ; growing number of QTCs progressing patients through treatment process,"Abeona Therapeutics 8-K exhibit 99.1, Q2 2026 results",https://www.sec.gov/Archives/edgar/data/318306/000149315226037575/ex99-1.htm,2026-09-06,verified-from-source,"Same release: ""Five patients treated with ZEVASKYN in Q2 2026 and three treatments in Q3 2026 to-date; since launch, 12 treatments completed"". Activations: NewYork-Presbyterian/Columbia (2 April 2026), CHOP (11 May 2026), Cincinnati Children's (21 July 2026)."
